comp_type,comp_name,disaster,disaster_en,voltage_code,district,n_events,outage_hours,base_lambda,storm_lambda,hazard_factor
line,汐止～板橋紅線,康芮,Typhoon Kong-rey,L,台北供電區處,1,0.0,0.1,0.0,1.0
line,深坑~政大,康芮,Typhoon Kong-rey,L,台北供電區處,1,0.0,0.1,0.0,1.0
line,深美~七張一路,康芮,Typhoon Kong-rey,L,台北供電區處,1,0.02,0.1,0.000139,1.0014
line,深美~七張二路,康芮,Typhoon Kong-rey,L,台北供電區處,1,0.02,0.1,0.000139,1.0014
line,深美~台北、南港、臥龍、義捷線,康芮,Typhoon Kong-rey,L,台北供電區處,1,0.28,0.1,0.002361,1.0236
line,深美~龍潭 紅線,康芮,Typhoon Kong-rey,L,台北供電區處,1,0.0,0.1,0.0,1.0
line,深美~龍潭紅線,康芮,Typhoon Kong-rey,L,新桃供電區處,1,0.02,0.1,0.000139,1.0014
line,深美～冬山一路,康芮,Typhoon Kong-rey,L,台北供電區處,1,0.08,0.1,0.000694,1.0069
line,深美～冬山二路,康芮,Typhoon Kong-rey,L,台北供電區處,1,0.55,0.1,0.004583,1.0458
line,深美～板橋白線,康芮,Typhoon Kong-rey,L,台北供電區處,1,0.0,0.1,0.0,1.0
line,深美～板橋紅線,康芮,Typhoon Kong-rey,L,台北供電區處,5,15.23,0.1,0.126944,2.2694
line,清水～銅門線,康芮,Typhoon Kong-rey,L,花東供電區處,3,61.6,0.1,0.513333,6.1333
line,溪口~鳳林、生豐光線,康芮,Typhoon Kong-rey,L,花東供電區處,1,0.02,0.1,0.000139,1.0014
line,烏來～桂山線,康芮,Typhoon Kong-rey,L,台北供電區處,1,1.95,0.1,0.01625,1.1625
line,玉里～東成線,康芮,Typhoon Kong-rey,L,花東供電區處,2,0.02,0.1,0.000139,1.0014
line,瑞穗～富里線,康芮,Typhoon Kong-rey,L,花東供電區處,3,60.13,0.1,0.501111,6.0111
line,瑞芳～雙溪線,康芮,Typhoon Kong-rey,L,台北供電區處,2,40.43,0.1,0.336944,4.3694
line,福安～榮華線,康芮,Typhoon Kong-rey,L,新桃供電區處,5,1.03,0.1,0.008611,1.0861
line,立霧～北埔線,康芮,Typhoon Kong-rey,L,花東供電區處,1,31.5,0.1,0.2625,3.625
line,立霧～花蓮線,康芮,Typhoon Kong-rey,L,花東供電區處,1,31.52,0.1,0.262639,3.6264
line,羅東~信大、冬石、東南、新星儲線,康芮,Typhoon Kong-rey,L,台北供電區處,1,0.02,0.1,0.000139,1.0014
line,花蓮~北埔、佳山線,康芮,Typhoon Kong-rey,L,花東供電區處,3,90.95,0.1,0.757917,8.5792
line,銅門~花蓮、榕樹 甲線,康芮,Typhoon Kong-rey,L,花東供電區處,1,0.03,0.1,0.000278,1.0028
line,銅門～溪口線,康芮,Typhoon Kong-rey,L,花東供電區處,2,31.37,0.1,0.261389,3.6139
line,關山~富里線,康芮,Typhoon Kong-rey,L,花東供電區處,2,28.42,0.1,0.236806,3.3681
line,關山～東河線,康芮,Typhoon Kong-rey,L,花東供電區處,1,0.0,0.1,0.0,1.0
line,陽明～興仁線,康芮,Typhoon Kong-rey,L,台北供電區處,1,18.13,0.1,0.151111,2.5111
line,鳳林~花蓮、 壽豐二路,康芮,Typhoon Kong-rey,L,花東供電區處,1,0.07,0.1,0.000556,1.0056
line,龍溪~龍澗、龍溪抽水站線,康芮,Typhoon Kong-rey,L,花東供電區處,1,26.78,0.1,0.223194,3.2319
line,龍澗～花蓮乙線,康芮,Typhoon Kong-rey,L,花東供電區處,4,2.43,0.1,0.020278,1.2028
