bus_i,name,base_kv,ide,area,zone,vm,va
23482,埔里光L,69.0,2,2,104,0.99497,-14.7457
23522,中市光L,69.0,2,2,104,0.99907,-24.4477
23532,中清光L,69.0,2,2,104,1.00278,-25.9379
23552,彰化光L,69.0,2,2,104,1.00105,-6.8911
23662,雲林光L,69.0,2,3,103,0.99955,-11.02
23672,嘉義光L,69.0,2,3,103,0.99388,-1.1878
23682,新營光L,69.0,2,3,103,0.99288,4.5475
23694,馬公光L,69.0,2,3,103,0.99351,-5.4285
23702,北港光L,69.0,2,3,103,0.99729,-3.0959
23722,山上光L,69.0,2,3,103,0.99887,-11.8332
23732,安南光L,69.0,2,3,103,1.00911,-12.4649
23762,台南光L,69.0,2,3,103,1.00658,-16.296
23792,岡山光L,69.0,2,3,103,1.00712,-11.9682
23812,社武光L,69.0,2,3,103,0.99806,-18.4296
23882,林園光L,69.0,2,3,103,1.00093,-13.7241
23892,南工乙光L,69.0,2,3,103,1.00437,-16.9906
23922,墾丁光L,69.0,2,3,103,0.99421,-9.9012
23932,屏東光L,69.0,2,3,103,1.00118,-10.3739
23942,楓港光L,69.0,2,3,103,1.00241,-9.8031
23952,花蓮光L,69.0,2,4,110,1.00544,-16.1055
23972,台東光L,69.0,2,4,110,0.99808,-11.2396
24002,和仁光D,23.9,2,1,102,0.99869,-32.4943
24012,利澤光D,23.9,2,1,102,0.99146,-33.2386
24016,蘇東光D,23.9,2,1,102,0.99324,-35.3047
24026,員山光D,23.9,2,1,102,0.9927,-35.6478
24028,宜市光D,23.9,2,1,102,0.99704,-35.8144
24030,宜府光D,23.9,2,1,102,0.99997,-35.7824
24048,廣安光D,23.9,2,1,102,0.99635,-36.7272
24108,西湖光D,23.9,2,1,102,1.00197,-44.3904
24110,民權光D,23.9,2,1,102,0.99036,-43.9678
24112,八連光D,23.9,2,1,102,0.99497,-40.2974
24114,北資光D,23.9,2,1,102,0.99221,-42.9128
24116,茄苳光D,23.9,2,1,102,0.99078,-42.007
24118,坪林光D,23.9,2,1,102,0.99625,-36.336
24128,澳底光D,23.9,2,1,102,0.99213,-39.2267
24140,光明光D,23.9,2,1,102,0.99237,-40.32
24144,週美光D,23.9,2,1,102,0.99859,-45.129
24148,橋東光D,23.9,2,1,102,0.99857,-40.7628
24162,沙崙光D,23.9,2,1,102,1.00442,-34.2178
24204,大直光D,23.9,2,1,102,0.99354,-43.5684
24208,百齡光D,23.9,2,1,102,0.99679,-42.868
24214,蘭雅光D,23.9,2,1,102,0.99614,-42.4122
24256,民生光D,23.9,2,1,102,1.0008,-41.8823
24258,榮星光D,23.9,2,1,102,0.99598,-43.0953
24260,松江光D,23.9,2,1,102,1.00244,-41.8285
24264,長春光D,23.9,2,1,102,1.00036,-42.5813
24266,敦化光D,23.9,2,1,102,0.99749,-41.9747
24270,基信光D,23.9,2,1,102,0.99582,-41.0068
