from_bus,to_bus,k_bus,ckt,name,status,r12_pu,x12_pu,sbase12_mva,windv1,nomv1,ang1_deg,rata1_mva,ratb1_mva,ratc1_mva,windv2,nomv2
1090,1096,0,1,興達南ST.T4                             ,1,0.00132,0.05932,250.0,1.0,345.0,0.0,250.0,250.0,0.0,0.95,16.0
1090,1099,0,1,興達南ST.T5                             ,1,0.00132,0.05932,250.0,1.0,345.0,0.0,250.0,250.0,0.0,0.95,16.0
1100,1105,0,1,大林甲M.T5                              ,0,0.00036,0.0208,560.0,1.00435,161.0,0.0,560.0,560.0,0.0,0.95,18.0
1130,1101,0,1,大林MT1                                 ,1,0.0002,0.0237,999.0,1.0,345.0,0.0,999.0,0.0,0.0,0.975,25.0
1130,1102,0,1,大林MT2                                 ,1,0.0002,0.0238,999.0,1.0,345.0,0.0,999.0,0.0,0.0,0.975,25.0
1120,1106,0,1,大林M.T6                                ,1,0.0003,0.0235,728.0,1.0043,161.0,0.0,728.0,728.0,0.0,0.9488,21.5
1123,1120,0,1,大林丙D.T1                              ,1,0.00848,0.2637,60.0,1.0,23.9,0.0,60.0,60.0,0.0,1.0,161.0
1120,1124,0,1,大林丙S.T3                              ,1,0.0063,0.32,37.5,1.0,161.0,0.0,37.5,37.5,0.0,1.0,4.2
1200,1201,0,1,南火北M.T1-1                            ,1,0.0031,0.1242,131.0,1.0,161.0,0.0,131.0,131.0,0.0,0.95652,13.8
1200,1202,0,1,南火北M.T1-2                            ,1,0.003,0.1228,131.0,1.0,161.0,0.0,131.0,131.0,0.0,0.95652,13.8
1200,1203,0,1,南火北ST.T1                             ,1,0.0022,0.088,175.0,1.0,161.0,0.0,175.0,175.0,0.0,0.95652,13.8
1200,1204,0,1,南火北M.T2-1                            ,1,0.003,0.123,131.0,1.0,161.0,0.0,131.0,131.0,0.0,0.95652,13.8
1200,1205,0,1,南火北M.T2-2                            ,1,0.003,0.1229,131.0,1.0,161.0,0.0,131.0,131.0,0.0,0.95652,13.8
1200,1206,0,1,南火北ST.T2                             ,1,0.0022,0.0879,175.0,1.0,161.0,0.0,175.0,175.0,0.0,0.95652,13.8
1210,1211,0,1,南火南M.T3-1                            ,1,0.003,0.1248,131.0,1.0,161.0,0.0,131.0,131.0,0.0,0.95652,13.8
1210,1212,0,1,南火南M.T3-2                            ,1,0.0028,0.1225,131.0,1.0,161.0,0.0,131.0,131.0,0.0,0.95652,13.8
1210,1213,0,1,南火南ST.T3                             ,1,0.0022,0.0879,175.0,1.0,161.0,0.0,175.0,175.0,0.0,0.95652,13.8
1210,1214,0,1,南火南M.T4                              ,1,0.0011,0.051,330.0,1.0,161.0,0.0,330.0,330.0,0.0,0.95,16.0
1401,1400,0,1,龍澗G.T1                                ,1,0.0066,0.1876,60.0,0.95,11.0,0.0,60.0,60.0,0.0,1.0,69.0
1401,1400,0,2,龍澗G.T2                                ,1,0.0069,0.1413,60.0,0.95,11.0,0.0,60.0,60.0,0.0,1.0,69.0
60180,1501,0,1,冬山儲D.T1                              ,1,0.0075,0.2819,60.0,1.0,23.9,0.0,60.0,60.0,0.0,1.0,161.0
1583,1581,0,1,仙渡D.T1                                ,1,0.0084,0.2665,60.0,1.0,23.9,0.0,60.0,60.0,0.0,1.0,161.0
1583,1581,0,2,仙渡D.T2                                ,1,0.0085,0.2664,60.0,1.0,23.9,0.0,60.0,60.0,0.0,1.0,161.0
