bus_i,gen_id,pg_mw,qg_mvar,qt_mvar,qb_mvar,vs_pu,mbase_mva,status,pmax_mw,pmin_mw
9614,2,62.94,2.931,100.0,0.0,1.0,148.26,1,100.0,0.0
9616,1,10.03,0.0,42.5,0.0,1.0,70.8,1,56.7,0.0
9617,1,0.0,0.0,42.9,0.0,1.0,71.5,0,57.25,0.0
9722,1,14.05,0.0,0.0,0.0,1.0,100.0,1,80.0,0.0
9723,1,0.0,0.0,0.0,0.0,1.0,100.0,0,80.0,0.0
9724,1,0.0,0.0,0.0,0.0,1.0,17.5,0,14.0,0.0
9725,1,0.0,0.0,0.0,0.0,1.0,17.5,0,14.0,0.0
9726,1,0.0,0.0,0.0,0.0,1.0,32.163,0,25.73,0.0
9727,1,0.0,0.0,0.0,0.0,1.0,32.163,0,25.73,0.0
9729,1,0.0,0.0,0.0,0.0,1.0,100.0,0,80.0,0.0
9731,1,0.0,0.0,0.0,0.0,1.0,100.0,0,80.0,0.0
9741,1,0.0,0.0,35.0,0.0,1.0,71.35,0,57.0,0.0
9742,1,0.0,0.0,60.0,0.0,1.0,126.33,0,101.6,0.0
9743,1,0.0,0.0,90.0,0.0,1.0,150.0,0,120.0,0.0
9763,1,440.56,56.339,370.0,0.0,0.99,706.0,1,600.0,0.0
9764,2,440.56,56.469,370.0,0.0,0.99,706.0,1,600.0,0.0
9765,3,0.0,0.0,370.0,0.0,0.99,706.0,0,600.0,0.0
9774,4,0.0,0.0,39.24,0.0,1.0,65.4,0,52.25,0.0
9775,5,0.0,0.0,39.24,0.0,1.0,65.4,0,52.25,0.0
9776,1,0.0,0.0,63.78,0.0,1.0,106.3,0,85.0,0.0
9777,2,0.0,0.0,63.78,0.0,1.0,106.3,0,85.0,0.0
9778,3,0.0,0.0,63.78,0.0,1.0,106.3,0,85.0,0.0
9783,1,0.0,0.0,75.3,0.0,1.0,125.5,0,96.4,0.0
9784,2,0.0,0.0,25.23,0.0,1.0,42.05,0,33.64,0.0
9785,3,0.0,0.0,52.23,0.0,1.0,87.05,0,69.64,0.0
9786,4,0.0,0.0,25.23,0.0,1.0,42.05,0,33.64,0.0
9787,5,0.0,0.0,52.23,0.0,1.0,87.05,0,69.64,0.0
9789,1,0.0,0.0,91.89,0.0,1.0,174.43,0,148.27,0.0
9790,2,0.0,0.0,91.88,0.0,1.0,174.43,0,148.27,0.0
9802,1,40.61,0.0,0.0,0.0,1.0,100.0,1,100.0,0.0
9803,1,40.61,0.0,0.0,0.0,1.0,100.0,1,100.0,0.0
9804,1,0.0,0.0,0.0,0.0,1.0,100.0,0,100.0,0.0
9805,1,0.0,0.0,0.0,0.0,1.0,100.0,0,100.0,0.0
9822,1,20.76,0.0,0.0,0.0,1.0,44.118,1,37.5,0.0
9822,2,0.0,0.0,0.0,0.0,1.0,44.118,0,37.5,0.0
9824,1,17.04,0.0,16.86,0.0,1.0,32.0,1,27.2,0.0
9865,1,0.0,0.0,37.425,0.0,1.0,62.38,0,49.9,0.0
9867,1,0.0,0.0,0.0,0.0,1.0,100.0,0,100.0,0.0
9868,1,0.0,0.0,0.0,0.0,1.0,100.0,0,100.0,0.0
9869,1,0.58,0.0,0.0,0.0,1.0,100.0,1,100.0,0.0
9870,1,0.58,0.0,0.0,0.0,1.0,100.0,1,100.0,0.0
9871,1,0.0,0.0,0.0,0.0,1.0,100.0,0,100.0,0.0
9872,1,18.15,0.0,0.0,0.0,1.0,100.0,1,0.0,0.0
9901,1,0.0,0.0,0.0,0.0,1.0,100.0,0,100.0,0.0
9903,1,0.0,0.0,0.0,0.0,1.0,100.0,0,100.0,0.0
