fuel_type,plant_name,unit_name,pmax_kw,pmax_mw,total_outage_hr,planned_outage_hr,unplanned_outage_hr,n_unplanned_events,service_hr,for_rate,mttr_hr,mu_per_hr,lambda_per_hr
燃煤,台中電廠,#5,550000,550.0,8733.53,8693.92,39.62,3,26.47,0.5,13.21,0.0757257,0.0757257
燃煤,台中電廠,#6,550000,550.0,8732.1,8732.1,0.0,0,27.9,0.001,120.0,0.00833333,8.34e-06
燃煤,台中電廠,#7,550000,550.0,8731.57,8731.57,0.0,0,28.43,0.001,120.0,0.00833333,8.34e-06
燃煤,台中電廠,#8,550000,550.0,8742.27,8742.27,0.0,0,17.73,0.001,120.0,0.00833333,8.34e-06
燃煤,台中電廠,#9,550000,550.0,8590.95,8513.42,77.53,2,169.05,0.314431,38.77,0.02579536,0.01183082
燃煤,大林電廠,#1,800000,800.0,598.02,598.02,0.0,0,8161.98,0.001,120.0,0.00833333,8.34e-06
燃煤,大林電廠,#2,800000,800.0,2079.65,2079.65,0.0,0,6680.35,0.001,120.0,0.00833333,8.34e-06
燃煤,林口電廠,#1,800000,800.0,2387.82,2228.43,159.38,1,6372.18,0.024402,159.38,0.00627418,0.00015693
燃煤,林口電廠,#2,800000,800.0,2876.2,1927.47,948.73,3,5883.8,0.138855,316.24,0.00316211,0.00050987
燃煤,林口電廠,#3,800000,800.0,680.67,680.67,0.0,0,8079.33,0.001,120.0,0.00833333,8.34e-06
燃煤,興達電廠,#3,550000,550.0,7167.18,6949.45,217.73,1,1592.82,0.120258,217.73,0.00459277,0.00062782
燃煤,興達電廠,#4,550000,550.0,8501.68,8501.68,0.0,0,258.32,0.001,120.0,0.00833333,8.34e-06
